customer_id,date,year,month,segment,product,age,tenure_years,ecb_rate_pct,own_rate_pct,comp_rate_pct,rel_rate_pct,inflation_pct,gdp_growth_cum,balance_eur,transaction_amount
CUST_00001,2021-01-01,2021,1,Retail,Fixed-Term 1Y,34,0,0.0,0.3674,0.5507,-0.1833,0.02,0.0046,4363.87,
CUST_00001,2021-02-01,2021,2,Retail,Fixed-Term 1Y,34,0,0.0,0.3388,0.4213,-0.0825,0.023,0.0157,4931.69,567.8199999999997
CUST_00001,2021-03-01,2021,3,Retail,Fixed-Term 1Y,34,0,0.0,0.4153,0.5532,-0.1379,0.0261,0.0216,4968.15,36.460000000000036
CUST_00001,2021-04-01,2021,4,Retail,Fixed-Term 1Y,34,0,0.0,0.4124,0.5579,-0.1455,0.0291,0.0306,5368.69,400.53999999999996
CUST_00001,2021-05-01,2021,5,Retail,Fixed-Term 1Y,34,0,0.0,0.3602,0.5389,-0.1787,0.0322,0.0351,4820.78,-547.9099999999999
CUST_00001,2021-06-01,2021,6,Retail,Fixed-Term 1Y,34,0,0.0,0.435,0.5961,-0.1611,0.0352,0.0399,4898.0,77.22000000000025
CUST_00001,2021-07-01,2021,7,Retail,Fixed-Term 1Y,34,0,0.0,0.3989,0.5249,-0.126,0.0383,0.0472,4792.16,-105.84000000000015
CUST_00001,2021-08-01,2021,8,Retail,Fixed-Term 1Y,34,0,0.0,0.3689,0.6401,-0.2712,0.0413,0.0547,4819.39,27.230000000000473
CUST_00001,2021-09-01,2021,9,Retail,Fixed-Term 1Y,34,0,0.0,0.3467,0.5157,-0.1689,0.0443,0.0593,4847.07,27.67999999999938
CUST_00001,2021-10-01,2021,10,Retail,Fixed-Term 1Y,34,0,0.0,0.434,0.5586,-0.1246,0.0474,0.0572,5115.42,268.35000000000036
CUST_00001,2021-11-01,2021,11,Retail,Fixed-Term 1Y,34,0,0.0,0.4725,0.5878,-0.1152,0.0504,0.0617,5319.39,203.97000000000025
CUST_00001,2021-12-01,2021,12,Retail,Fixed-Term 1Y,34,0,0.0,0.439,0.5283,-0.0893,0.0535,0.0688,5384.47,65.07999999999993
CUST_00001,2022-01-01,2022,1,Retail,Fixed-Term 1Y,34,0,0.0,0.4238,0.5567,-0.133,0.0565,0.0738,5372.74,-11.730000000000473
CUST_00001,2022-02-01,2022,2,Retail,Fixed-Term 1Y,34,0,0.0,0.3936,0.4962,-0.1027,0.0596,0.0802,4862.29,-510.4499999999998
CUST_00001,2022-03-01,2022,3,Retail,Fixed-Term 1Y,34,0,0.0,0.4326,0.6344,-0.2019,0.0626,0.086,5280.29,418.0
CUST_00001,2022-04-01,2022,4,Retail,Fixed-Term 1Y,34,0,0.0,0.4044,0.5792,-0.1747,0.0657,0.0867,4850.81,-429.47999999999956
CUST_00001,2022-05-01,2022,5,Retail,Fixed-Term 1Y,34,0,0.0,0.3876,0.4856,-0.0979,0.0687,0.0944,4846.91,-3.9000000000005457
CUST_00001,2022-06-01,2022,6,Retail,Fixed-Term 1Y,34,0,0.0,0.4267,0.5842,-0.1575,0.0717,0.0976,4716.76,-130.14999999999964
CUST_00001,2022-07-01,2022,7,Retail,Fixed-Term 1Y,34,0,0.0,0.3808,0.5834,-0.2026,0.0748,0.1011,5047.05,330.28999999999996
CUST_00001,2022-08-01,2022,8,Retail,Fixed-Term 1Y,34,0,0.2353,0.5377,0.715,-0.1772,0.0778,0.1079,5256.97,209.92000000000007
CUST_00001,2022-09-01,2022,9,Retail,Fixed-Term 1Y,34,0,0.4706,0.6696,0.8183,-0.1487,0.0809,0.1107,5640.5,383.52999999999975
CUST_00001,2022-10-01,2022,10,Retail,Fixed-Term 1Y,34,0,0.7059,0.8222,0.9615,-0.1393,0.0839,0.1165,5227.17,-413.3299999999999
CUST_00001,2022-11-01,2022,11,Retail,Fixed-Term 1Y,34,0,0.9412,0.9814,1.1758,-0.1944,0.087,0.1189,6261.4,1034.2299999999996
CUST_00001,2022-12-01,2022,12,Retail,Fixed-Term 1Y,34,0,1.1765,1.1125,1.2178,-0.1053,0.09,0.1234,6850.7,589.3000000000002
CUST_00001,2023-01-01,2023,1,Retail,Fixed-Term 1Y,34,0,1.4118,1.22,1.3605,-0.1406,0.09,0.1272,6447.27,-403.4299999999994
CUST_00001,2023-02-01,2023,2,Retail,Fixed-Term 1Y,34,0,1.6471,1.3616,1.4824,-0.1208,0.0883,0.1308,6797.38,350.1099999999997
CUST_00001,2023-03-01,2023,3,Retail,Fixed-Term 1Y,34,0,1.8824,1.4801,1.7262,-0.246,0.0866,0.1334,5786.41,-1010.9700000000003
CUST_00001,2023-04-01,2023,4,Retail,Fixed-Term 1Y,34,0,2.1176,1.6892,1.8386,-0.1493,0.0849,0.1383,7056.1,1269.6900000000005
CUST_00001,2023-05-01,2023,5,Retail,Fixed-Term 1Y,34,0,2.3529,1.7785,1.8511,-0.0726,0.0831,0.1436,6861.97,-194.1300000000001
CUST_00001,2023-06-01,2023,6,Retail,Fixed-Term 1Y,34,0,2.5882,1.9169,2.1405,-0.2236,0.0814,0.1514,6861.69,-0.28000000000065484
CUST_00001,2023-07-01,2023,7,Retail,Fixed-Term 1Y,34,0,2.8235,2.0734,2.1983,-0.1249,0.0797,0.1547,8478.92,1617.2300000000005
CUST_00001,2023-08-01,2023,8,Retail,Fixed-Term 1Y,34,0,3.0588,2.2885,2.411,-0.1225,0.078,0.1598,8314.04,-164.8799999999992
CUST_00001,2023-09-01,2023,9,Retail,Fixed-Term 1Y,34,0,3.2941,2.3334,2.4839,-0.1505,0.0763,0.1715,8321.85,7.809999999999491
CUST_00001,2023-10-01,2023,10,Retail,Fixed-Term 1Y,34,0,3.5294,2.5332,2.7059,-0.1727,0.0746,0.1776,9043.66,721.8099999999995
CUST_00001,2023-11-01,2023,11,Retail,Fixed-Term 1Y,34,0,3.7647,2.6868,2.8636,-0.1768,0.0729,0.1841,9006.54,-37.11999999999898
CUST_00001,2023-12-01,2023,12,Retail,Fixed-Term 1Y,34,0,4.0,2.8017,2.941,-0.1393,0.0711,0.1904,9732.35,725.8099999999995
CUST_00001,2024-01-01,2024,1,Retail,Fixed-Term 1Y,34,0,4.0,2.804,2.9036,-0.0996,0.0694,0.1903,9033.13,-699.2200000000012
CUST_00001,2024-02-01,2024,2,Retail,Fixed-Term 1Y,34,0,3.9545,2.7333,2.96,-0.2267,0.0677,0.1945,10021.44,988.3100000000013
